"sector_index","avg_loss","attacks","total_loss"
"S&P 500 Industrials","147090809.55","48","7060358858.63"
"S&P 500 Information Technology","123545907.09","59","7289208518.58"
"S&P 500 Energy","95398937.83","10","953989378.29"
"S&P 500 Utilities","89324904.32","14","1250548660.54"
"S&P 500 Financials","82234155.30","53","4358410230.91"
"S&P 500","54193123.35","28","1517407453.87"
"S&P 500 Health Care","51597581.31","57","2941062134.64"
"S&P 500 Consumer Discretionary","43661136.15","52","2270379079.57"
"S&P 500 Real Estate","33950945.61","3","101852836.83"
"S&P 500 Communication Services","20768760.24","5","103843801.19"
