"company_name","total_loss_usd","sector_index","avg_sector_loss"
"Johansson Fabrication Co.","2633462456.61","S&P 500 Industrials","147090809.55"
"Jerusalem Platforms Ltd.","1796987744.63","S&P 500 Information Technology","123545907.09"
"Belfast Fabrication Group PLC","1574754909.63","S&P 500 Industrials","147090809.55"
"Sierra Node Ventures SA","1033138777.89","S&P 500 Information Technology","123545907.09"
"Melbourne Advisory Pty Ltd.","962294220.34","S&P 500 Financials","82234155.30"
"Zenith Reserve Holdings Holdings PLC","959261302.97","S&P 500 Financials","82234155.30"
"LogicNet Labs DAC","767222122.06","S&P 500 Information Technology","123545907.09"
"Seoul Microsystems Co. Ltd.","713039199.26","S&P 500 Information Technology","123545907.09"
"StLouis Power Holdings Inc.","665067514.09","S&P 500 Utilities","89324904.32"
"Glasgow Association Group PLC","628199540.31","S&P 500","54193123.35"
"Polaris Mantis Genomics Holdings PLC","575015025.70","S&P 500 Health Care","51597581.31"
"AeroShip Airlines Ltd.","544910320.45","S&P 500 Industrials","147090809.55"
"Sequoia Crown Financial Corp.","517136517.72","S&P 500 Financials","82234155.30"
"Redwood Ore Petroleum SA","433328103.83","S&P 500 Energy","95398937.83"
"Citadel Care Labs Group Inc.","347784138.44","S&P 500 Health Care","51597581.31"
"Lynx Wolverine Solutions Co.","292343951.97","S&P 500","54193123.35"
"Crimson Genome Diagnostics Inc.","285803107.07","S&P 500 Health Care","51597581.31"
"BazaarGoods Distribution Co.","260168941.27","S&P 500 Consumer Discretionary","43661136.15"
"Austin Biotech Corp.","253757332.46","S&P 500 Health Care","51597581.31"
"MarketValue Commerce Ltd.","211521155.73","S&P 500 Consumer Discretionary","43661136.15"
"Oxford Brands Ltd.","168046837.69","S&P 500 Consumer Discretionary","43661136.15"
"SaveSave Commerce Corp.","157634194.73","S&P 500 Consumer Discretionary","43661136.15"
"Arrow Phoenix Stores Group PLC","137250034.25","S&P 500 Consumer Discretionary","43661136.15"
