"sector_index","ransom_status","incidents","avg_total_loss"
"S&P 500","Not Paid","25","47856778.96"
"S&P 500","Paid","3","106995993.32"
"S&P 500 Communication Services","Not Paid","5","20768760.24"
"S&P 500 Consumer Discretionary","Not Paid","45","35297678.84"
"S&P 500 Consumer Discretionary","Paid","7","97426218.83"
"S&P 500 Energy","Not Paid","9","104934859.83"
"S&P 500 Energy","Paid","1","9575639.80"
"S&P 500 Financials","Not Paid","48","64829538.23"
"S&P 500 Financials","Paid","5","249318479.17"
"S&P 500 Health Care","Not Paid","49","54969024.10"
"S&P 500 Health Care","Paid","8","30947494.22"
"S&P 500 Industrials","Not Paid","41","159215268.21"
"S&P 500 Industrials","Paid","7","76076123.17"
"S&P 500 Information Technology","Not Paid","52","132810751.63"
"S&P 500 Information Technology","Paid","7","54721347.71"
"S&P 500 Real Estate","Not Paid","2","42672118.92"
"S&P 500 Real Estate","Paid","1","16508599.00"
"S&P 500 Utilities","Not Paid","13","95123879.92"
"S&P 500 Utilities","Paid","1","13938221.64"
