"sector_index","incidents","avg_disclosure_change_pct","avg_recovery_pct_in_30_days","avg_days_to_recovery"
"S&P 500 Communication Services","6","-5.58","-1.02","134.40"
"S&P 500 Information Technology","61","-4.58","-1.14","109.62"
"S&P 500 Energy","10","-3.62","-2.48","136.78"
"S&P 500 Consumer Discretionary","55","-3.25","-1.90","87.53"
"S&P 500 Financials","58","-2.98","-1.79","115.79"
"S&P 500","30","-2.96","-1.52","106.58"
"S&P 500 Health Care","67","-2.54","-1.72","115.18"
"S&P 500 Industrials","53","-2.46","-1.81","116.98"
"S&P 500 Real Estate","3","-2.42","-2.09","37.00"
"S&P 500 Utilities","15","-2.02","-2.46","116.73"
