"sector_index","avg_loss","attacks","avg_insurance_payout"
"S&P 500 Energy","175499151.35","2","59472546.74"
"S&P 500 Industrials","164848321.06","29","44841140.93"
"S&P 500 Financials","98228706.98","28","24512982.53"
"S&P 500 Health Care","75421716.17","29","33845776.18"
"S&P 500 Information Technology","73440549.29","32","25202901.60"
"S&P 500 Consumer Discretionary","42239465.29","29","15125183.29"
"S&P 500 Real Estate","33950945.61","3","7593278.66"
"S&P 500","27961793.94","14","11017293.23"
"S&P 500 Utilities","17958973.86","8","5431011.34"
"S&P 500 Communication Services","15107608.05","3","8732422.94"
