"company_name","sector_index","incident_id","total_loss_usd","avg_sector_loss","loss_above_sector_avg"
"Johansson Fabrication Co.","S&P 500 Industrials","2024-0611-001","2633462456.61","147090809.55","2486371647.06"
"Jerusalem Platforms Ltd.","S&P 500 Information Technology","2022-0512-001","1796987744.63","123545907.09","1673441837.54"
"Belfast Fabrication Group PLC","S&P 500 Industrials","2022-0817-001","1574754909.63","147090809.55","1427664100.08"
"Sierra Node Ventures SA","S&P 500 Information Technology","2025-0510-001","1033138777.89","123545907.09","909592870.80"
"Melbourne Advisory Pty Ltd.","S&P 500 Financials","2022-0629-002","962294220.34","82234155.30","880060065.04"
"Zenith Reserve Holdings Holdings PLC","S&P 500 Financials","2021-0809-001","959261302.97","82234155.30","877027147.67"
"LogicNet Labs DAC","S&P 500 Information Technology","2023-0808-001","767222122.06","123545907.09","643676214.97"
"Seoul Microsystems Co. Ltd.","S&P 500 Information Technology","2025-0704-002","713039199.26","123545907.09","589493292.17"
"StLouis Power Holdings Inc.","S&P 500 Utilities","2023-1209-003","665067514.09","89324904.32","575742609.77"
"Glasgow Association Group PLC","S&P 500","2024-0928-002","628199540.31","54193123.35","574006416.96"
