"company_name","total_loss_usd"
"DistrictState Services PLC","3451547719.92"
"Johansson Fabrication Co.","2633462456.61"
"Jerusalem Platforms Ltd.","1796987744.63"
"Belfast Fabrication Group PLC","1574754909.63"
"Silver Flint Freight Corp.","1101133527.36"
"Sierra Node Ventures SA","1033138777.89"
"Melbourne Advisory Pty Ltd.","962294220.34"
"Zenith Reserve Holdings Holdings PLC","959261302.97"
"DigitalSoft Ventures Co.","902855207.46"
"LogicNet Labs DAC","767222122.06"
"Sullivan Services Ltd.","739518258.79"
"Lindgren Robotics Group Inc.","737023327.55"
"Seoul Microsystems Co. Ltd.","713039199.26"
"StLouis Power Holdings Inc.","665067514.09"
"Glasgow Association Group PLC","628199540.31"
"Silver Onyx Properties Group PLC","594363783.92"
"Polaris Mantis Genomics Holdings PLC","575015025.70"
"Osprey Neuro Therapeutics AB","570110654.81"
"CountyCounty Administration Group Inc.","551520298.92"
"AeroShip Airlines Ltd.","544910320.45"
"Sequoia Crown Financial Corp.","517136517.72"
"Liverpool Capital Group PLC","505645114.74"
"Kowalski Services AG","502578849.19"
"Vista Cascade Staffing Co. Ltd.","498347273.70"
"Nice Department Group SA","442315893.30"
"Sovereign Power Electric Ltda.","440439809.52"
"Paladin Logic Microsystems Corp.","438811628.43"
"Redwood Ore Petroleum SA","433328103.83"
"Horizon Glacier Commerce Ltd.","387894465.09"
"Citadel Care Labs Group Inc.","347784138.44"
"MatrixPress Components Group Inc.","344453944.17"
"MetroCivic Department Group PLC","337622011.91"
"Marshall University SE","312415647.62"
"Patriot Nexus Partners Pte. Ltd.","309420654.25"
"Mitchell Schools Holdings PLC","308950121.27"
"Crawford Analytics Holdings Inc.","302553540.64"
"Raptor Digital Computing Group SA","300915917.14"
"Lynx Wolverine Solutions Co.","292343951.97"
"Crimson Genome Diagnostics Inc.","285803107.07"
"Houston Agency Inc.","278305202.82"
"BazaarGoods Distribution Co.","260168941.27"
"Everest Sapphire Hospitality Inc.","259150504.44"
"Kestrel Equity Capital Ltd.","256282771.23"
"Richardson Biotech Corp.","254195741.02"
"Austin Biotech Corp.","253757332.46"
"Maple Zephyr Energy Group Inc.","248746480.85"
"SanDiego Services Co.","246659910.53"
"Orlando Systems Holdings Inc.","246167085.37"
"Orbit Wisdom Academy Ltd.","238339149.79"
"Raptor Ridge Analytics SA","234615401.15"
