"incident_id","company_name","sector_index","total_loss_usd"
"2024-0611-001","Johansson Fabrication Co.","S&P 500 Industrials","2633462456.61"
"2022-0512-001","Jerusalem Platforms Ltd.","S&P 500 Information Technology","1796987744.63"
"2022-0817-001","Belfast Fabrication Group PLC","S&P 500 Industrials","1574754909.63"
"2025-0510-001","Sierra Node Ventures SA","S&P 500 Information Technology","1033138777.89"
"2022-0629-002","Melbourne Advisory Pty Ltd.","S&P 500 Financials","962294220.34"
"2021-0809-001","Zenith Reserve Holdings Holdings PLC","S&P 500 Financials","959261302.97"
"2023-0808-001","LogicNet Labs DAC","S&P 500 Information Technology","767222122.06"
"2025-0704-002","Seoul Microsystems Co. Ltd.","S&P 500 Information Technology","713039199.26"
"2023-1209-003","StLouis Power Holdings Inc.","S&P 500 Utilities","665067514.09"
"2024-0928-002","Glasgow Association Group PLC","S&P 500","628199540.31"
