"company_name","total_loss_usd","loss_status"
"Quantum Asset Assurance Group Inc.","24642595.67","High"
"Quantum Apex Ventures Ltd.","15306810.06","Medium"
"BitWire Innovations Corp.","71616414.97","High"
"Sterling Forge Markets Holdings Inc.","9354133.80","Medium"
"Sierra Quantum Innovations Group Inc.","5466301.48","Medium"
"Novak Systems Group Inc.","7362428.28","Medium"
"Beacon Lumen Industries Holdings Inc.","2622297.67","Low"
"Anderson Securities Inc.","2149305.76","Low"
"Stuttgart Distribution SE","7790462.07","Medium"
"BazaarBrand Stores Co.","75048970.02","High"
"Nakamura Materials Corp.","8788165.70","Medium"
"MarketFresh Stores Corp.","56019254.36","High"
"VectorWire Security Ltd.","5844869.23","Medium"
"Bordeaux Insurance SA","7773167.06","Medium"
"Forge Shop Outlets Co.","68871426.71","High"
"Wolverine Risk Bancorp Co.","15684199.97","Medium"
"LinkSignal Labs Group Ltd.","634405.90","Low"
"Gallagher Administration Group Inc.","1088468.06","Low"
"Harbor Prime Group Group PLC","9773054.90","Medium"
"Coleman Rail SA","19171770.15","Medium"
"Brooks Consulting Co.","12739363.14","Medium"
"Gallagher Bank Inc.","2337850.51","Low"
"FundRisk Bank Technologies Ltd.","42685572.85","High"
"Vertex Vista Technologies Pvt. Ltd.","9809309.29","Medium"
"Atlas Element MedTech S.p.A.","32856514.97","High"
"Eindhoven Agency N.V.","3882425.27","Low"
"Atlanta Builders Group Inc.","10642314.43","Medium"
"Indigo Grid Corp Corp.","176959416.91","Critical"
"Takahashi Sciences Holdings Inc.","191043209.52","Critical"
"Ottawa Solutions Corp.","46212710.42","High"
"Novak Power GmbH","10733247.08","Medium"
"Compass Mold Materials S.A.","29647218.87","High"
"Meridian Crest Education Group PLC","7726910.33","Medium"
"ToolComposite Defense Co. Ltd.","15815998.94","Medium"
"Houston Management Inc.","14822101.02","Medium"
"SaveSave Commerce Corp.","157634194.73","Critical"
"Flynn Pharmaceuticals Co. Ltd.","15066406.57","Medium"
"Hughes Education Corp.","18287704.30","Medium"
"Santos Services Group PLC","7651496.78","Medium"
"Gallagher Staffing Ltd.","718750.93","Low"
"Sullivan Agency PLC","4943437.95","Low"
"Flynn Holdings Group Ltd.","7263036.69","Medium"
"Mantis Lantern Biotech Group AB","24598185.55","High"
"Anderson Securities Inc.","173170575.41","Critical"
"Genoa Group S.r.l.","32593050.89","High"
"Belfast Advisory Ltd.","22053122.01","High"
"DynamicMachine Products Pty Ltd.","63738093.91","High"
"Munich Genomics GmbH","9041257.41","Medium"
"Element Sentinel Healthcare Holdings PLC","708569.86","Low"
"Delacroix Brands Holdings Inc.","53730911.98","High"
"ServiceLink Staffing Inc.","2254138.92","Low"
"Sovereign Wisdom Academy Ltda.","11919632.08","Medium"
"Lambert MedTech Co.","21496866.37","High"
"Obsidian Bravo Components Corp.","67341034.05","High"
"Phoenix Development Group Inc.","1821046.17","Low"
"WireAlgo Security S.p.A.","5392310.51","Medium"
"Kowalski Electric Holdings Inc.","32856174.19","High"
"Ember Sequoia Retail Inc.","7088167.62","Medium"
"Dallas Markets Holdings Inc.","14437056.80","Medium"
"Hamburg Group SE","51048863.25","High"
"AcumenAnalytic Partners Group SA","55240992.11","High"
"Genoa Group S.r.l.","205641964.36","Critical"
"Whitfield Diagnostics S.r.l.","4140671.60","Low"
"Sendai Department Corp.","7406702.32","Medium"
"Granite Paragon Services Holdings Inc.","11561340.91","Medium"
"LogicTrace Technologies Pty Ltd.","203544190.96","Critical"
"GridTech Solutions Corp.","17373918.79","Medium"
"Dynamo Ridge Diagnostics Corp.","12666028.08","Medium"
"Schneider Trading Group Inc.","14142832.14","Medium"
"Santos Health Holdings Inc.","17082912.02","Medium"
"ProtoCyber Networks Corp.","3887467.08","Low"
"Tempest Epoch Microsystems GmbH","8268838.95","Medium"
"Raven Condor Commerce Ltda.","2939747.57","Low"
"Palmer Solutions Co.","10650576.48","Medium"
"DistrictState Services PLC","3451547719.92","Critical"
"Gutierrez Assurance Ltda.","2607822.40","Low"
