"sector_index","attacks","avg_loss","avg_insurance_payout","avg_insurance_coverage_pct"
"S&P 500 Communication Services","3","15107608.05","8732422.94","56.44"
"S&P 500 Health Care","29","75421716.17","33845776.18","42.36"
"S&P 500 Information Technology","32","73440549.29","25202901.60","40.01"
"S&P 500 Consumer Discretionary","29","42239465.29","15125183.29","38.38"
"S&P 500 Financials","28","98228706.98","24512982.53","36.60"
"S&P 500 Industrials","29","164848321.06","44841140.93","35.23"
"S&P 500","14","27961793.94","11017293.23","33.57"
"S&P 500 Energy","2","175499151.35","59472546.74","32.27"
"S&P 500 Utilities","8","17958973.86","5431011.34","28.65"
"S&P 500 Real Estate","3","33950945.61","7593278.66","25.06"
