"sector_index","indicents_amount","total_loss","avg_loss"
"S&P 500 Communication Services","5","103843801.19","20768760.24"
"S&P 500 Utilities","14","1250548660.54","89324904.32"
"S&P 500 Energy","10","953989378.29","95398937.83"
"S&P 500 Financials","53","4358410230.91","82234155.30"
"S&P 500 Consumer Discretionary","52","2270379079.57","43661136.15"
"S&P 500 Industrials","48","7060358858.63","147090809.55"
"S&P 500","28","1517407453.87","54193123.35"
"S&P 500 Health Care","57","2941062134.64","51597581.31"
"S&P 500 Real Estate","3","101852836.83","33950945.61"
"S&P 500 Information Technology","59","7289208518.58","123545907.09"
